Ntc	Nli	Nbr	Nla	Nmu	NA1	NA2	NA3	NA4	t1	t2	t3	t4	Mmu2la	Mla2mu	Mli2la	Mla2li	Mli2tc	Mtc2li	Mmu2li	Mli2mu	Mla2tc	Mtc2la	Mli2br	Mbr2li	MaxEstLhood	MaxObsLhood
1098	5509	6169	36431	27503	2914	113381	162640	833434	3857	4513	11296	14384	2.68E-05	1.32E-05	1.49E-05	1.43E-05	5.72E-04	9.27E-06	2.43E-05	8.58E-06	7.46E-06	3.06E-06	6.66E-05	3.08E-05	-4613733.85	-4572099.161
1136	1974	16267	53650	32290	3946	32084	199970	745136	1646	9913	12964	14393	6.48E-05	8.43E-06	9.31E-05	6.09E-06	6.77E-04	4.25E-06	2.47E-05	3.89E-05	1.39E-05	3.26E-06	1.46E-04	1.67E-05	-4624172.704	-4577171.644
1156	6465	9395	44979	25789	633430	74674	81544	813983	4843	6309	12846	14411	3.20E-05	8.63E-06	1.24E-05	2.97E-06	4.74E-04	1.45E-05	2.46E-05	6.23E-06	1.12E-05	2.07E-06	4.72E-05	1.83E-05	-4611870.881	-4570045.998
1452	1593	14154	45544	30393	2965	41996	87120	842958	1323	8928	13043	14469	5.83E-05	2.51E-05	1.04E-04	1.08E-05	7.48E-04	1.55E-05	4.30E-05	6.16E-05	1.85E-05	1.48E-06	1.77E-04	2.41E-05	-4619199.547	-4572655.498
1112	3830	5472	38907	25100	6032	120977	372931	842317	3794	4067	12159	14496	3.24E-05	9.09E-06	1.56E-05	1.14E-05	6.74E-04	1.99E-06	3.41E-05	2.21E-05	1.12E-05	1.99E-06	7.36E-05	4.87E-05	-4603620.201	-4561279.776
2020	1680	17563	53952	35687	2402	33412	153395	799548	997	9687	13841	14505	7.04E-05	1.38E-05	1.04E-04	1.84E-05	3.37E-04	2.29E-05	3.69E-05	6.57E-05	1.30E-05	1.94E-06	1.89E-04	1.53E-05	-4612918.873	-4565429.072
1135	5901	5720	41798	29733	2385	134978	135399	839236	3349	4335	12379	14530	3.69E-05	4.75E-06	1.17E-05	1.58E-05	5.95E-04	2.33E-06	2.36E-05	1.17E-05	7.13E-06	1.55E-06	5.98E-05	4.77E-05	-4617255.792	-4574301.347
1149	9714	14890	44121	29753	5794	40067	421879	775752	3643	9420	12697	14545	3.38E-05	3.58E-06	1.28E-05	1.39E-05	2.91E-04	1.28E-05	1.62E-05	1.18E-05	5.76E-06	2.47E-06	3.76E-05	9.67E-06	-4606269.479	-4564403.673
1114	5026	9730	46016	27906	11014	130034	440647	818382	4054	7042	14231	14558	2.92E-05	6.16E-06	2.56E-05	7.69E-06	5.89E-04	7.35E-06	2.61E-05	1.03E-05	1.29E-05	2.97E-06	6.43E-05	2.41E-05	-4612979.631	-4570978.804
1073	4347	7761	45680	26812	3887	106076	19235	852960	3725	4929	14047	14561	3.47E-05	1.20E-05	3.18E-05	1.75E-05	6.61E-04	6.95E-06	2.45E-05	2.01E-05	2.98E-06	2.81E-06	9.14E-05	1.37E-05	-4612195.484	-4568993.642
1114	6089	18452	42089	27246	44333	12029	144871	814939	4082	11322	12663	14566	3.10E-05	5.65E-06	1.17E-05	1.17E-05	5.08E-04	9.17E-06	2.47E-05	1.14E-05	8.97E-06	4.10E-06	4.13E-05	9.64E-06	-4603663.23	-4562081.317
1142	6375	9183	41620	27643	8492	66057	244694	796558	4288	6141	11971	14576	3.17E-05	2.01E-06	7.96E-06	1.05E-05	4.57E-04	1.29E-05	1.79E-05	1.26E-05	8.93E-06	1.66E-06	4.72E-05	2.22E-05	-4615834.256	-4573453.319
1171	5570	7581	43319	25436	10840	209395	154923	845250	4683	5807	12370	14592	2.81E-05	5.12E-06	1.22E-05	1.54E-05	5.08E-04	1.06E-05	2.07E-05	8.49E-06	2.18E-06	2.79E-06	6.23E-05	2.94E-05	-4627572.416	-4584586.308
1285	13777	11599	39444	28286	5276	41524	426802	778944	3907	7884	11225	14596	2.91E-05	6.16E-06	4.24E-06	1.25E-05	3.21E-04	7.41E-06	2.09E-05	7.62E-06	6.58E-06	2.83E-06	3.26E-05	1.83E-05	-4614303.933	-4572056.735
1315	1529	11941	49028	32765	3201	78082	75375	846294	2899	7528	13510	14612	3.52E-05	4.60E-06	1.17E-04	4.21E-06	0.0012525	7.65E-06	1.97E-05	6.07E-05	9.81E-06	1.30E-06	2.05E-04	1.49E-05	-4621171.439	-4574758.325
1094	4529	7458	44297	27637	20416	123865	121861	791368	4104	5156	13408	14613	2.83E-05	8.62E-06	1.14E-05	1.47E-05	5.93E-04	8.05E-06	1.83E-05	1.64E-05	2.28E-06	1.72E-06	6.82E-05	1.75E-05	-4619532.898	-4576977.501
1116	5245	12445	47814	26887	260369	51980	114062	822036	4003	7935	12722	14623	3.12E-05	5.04E-06	1.54E-05	3.11E-06	6.35E-04	2.49E-06	2.35E-05	1.82E-05	1.35E-05	3.11E-06	5.98E-05	1.63E-05	-4611112.175	-4568891.743
1519	3683	16306	50370	33771	3292	48198	687502	811721	2464	10445	14090	14666	4.52E-05	8.07E-06	4.24E-05	8.07E-06	3.47E-04	8.59E-06	1.62E-05	3.59E-05	9.48E-06	3.49E-06	7.98E-05	1.85E-05	-4615632.123	-4569877.88
1150	8855	9824	36455	30371	5764	29234	276190	794609	4201	6104	9498	14723	2.42E-05	4.13E-06	7.90E-06	9.34E-06	4.31E-04	1.23E-05	1.92E-05	4.05E-06	4.77E-06	3.62E-06	3.34E-05	1.19E-05	-4606375.713	-4565124.46
1337	8851	12867	56959	34791	10573	75085	59715	752015	5034	9182	13935	14737	1.30E-05	1.94E-06	1.18E-05	2.19E-06	3.56E-04	9.91E-06	1.66E-05	6.73E-06	6.66E-06	2.12E-06	3.21E-05	1.56E-05	-4614408.656	-4571707.934
